Week,Course,Total Conversions,Counselling Conversions,SOP Conversions,Counselling Conversion%,Retention Conversion%
W01,iim mumbai digital marketing,74,39,35,11.42%,77.03%
W01,BITSoM PM AI,319,152,167,7.29%,80.88%
W01,iit roorkee agentic systems,204,184,20,2.66%,71.08%
W01,IIT Patna AI ML,101,43,58,8.11%,68.32%
W01,iit roorkee ai ds,418,403,15,4.70%,74.16%
W01,iit roorkee software engineering,18,18,0,6.21%,77.78%
W01,IIT Patna AI ML (in Telugu),484,484,0,8.78%,67.98%
W01,IIT Patna SDE with AI (in English),248,244,4,4.14%,61.29%
W01,IIT Patna AI ML (in Tamil),324,324,0,5.40%,65.12%
W01,IIM Rohtak Product Management,16,14,2,4.76%,75.00%
W01,tihan ai ml,0,0,0,0,0
W01,IIT Patna SDE with AI (in Tamil),6,6,0,6.38%,33.33%
W01,iim trichy product management,15,0,15,3.89%,80.00%
W01,IIM Sirmaur DM,40,0,40,7.25%,72.50%
W01,FinTech AI - IIM Trichy,12,0,12,4.00%,66.67%
W01,BITSoM FinTech AI,19,3,16,15.32%,89.47%
W01,IIT Roorkee Product Management,24,5,19,10.67%,79.17%
W2,iim mumbai digital marketing,65,49,16,5.74%,64.62%
W2,BITSoM PM AI,198,90,108,5.37%,76.26%
W2,iit roorkee agentic systems,32,26,6,3.42%,81.25%
W2,IIT Patna AI ML,32,8,24,5.27%,59.38%
W2,iit roorkee ai ds,123,102,21,5.14%,72.36%
W2,iit roorkee software engineering,13,11,2,4.64%,76.92%
W2,IIT Patna AI ML (in Telugu),93,91,2,7.20%,69.89%
W2,IIT Patna SDE with AI (in English),9,9,0,6.34%,77.78%
W2,IIT Patna AI ML (in Tamil),54,52,2,5.52%,66.67%
W2,IIM Rohtak Product Management,55,53,2,4.48%,58.18%
W2,tihan ai ml,0,0,0,0,0
W2,IIT Patna SDE with AI (in Tamil),10,10,0,7.81%,90.00%
W2,iim trichy product management,6,0,6,3.59%,50.00%
W2,IIM Sirmaur DM,11,0,11,7.33%,36.36%
W2,FinTech AI - IIM Trichy,6,0,6,3.68%,50.00%
W2,BITSoM FinTech AI,9,1,8,20.93%,88.89%
W2,IIT Roorkee Product Management,21,2,19,8.82%,80.95%
W3,iim mumbai digital marketing,86,66,20,9.65%,73.26%
W3,BITSoM PM AI,125,24,101,10.67%,88.00%
W3,iit roorkee agentic systems,92,84,8,7.31%,70.65%
W3,IIT Patna AI ML,53,30,23,6.37%,75.47%
W3,iit roorkee ai ds,249,217,32,6.12%,75.10%
W3,iit roorkee software engineering,57,57,0,3.29%,71.93%
W3,IIT Patna AI ML (in Telugu),605,593,12,6.50%,68.76%
W3,IIT Patna SDE with AI (in English),345,341,4,3.65%,49.86%
W3,IIT Patna AI ML (in Tamil),269,254,15,5.28%,69.89%
W3,IIM Rohtak Product Management,43,42,1,4.22%,74.42%
W3,tihan ai ml,0,0,0,0.00%,0.00%
W3,IIT Patna SDE with AI (in Tamil),13,13,0,6.81%,92.31%
W3,iim trichy product management,7,0,7,6.93%,71.43%
W3,IIM Sirmaur DM,4,0,4,6.56%,50.00%
W3,FinTech AI - IIM Trichy,9,0,9,7.03%,44.44%
W3,BITSoM FinTech AI,12,9,3,4.27%,75.00%
W3,IIT Roorkee Product Management,18,3,15,7.56%,55.56%
W3,BITSoM BA DM,53,49,4,3.93%,69.81%
W4,iim mumbai digital marketing,72,62,10,6.01%,69.44%
W4,BITSoM PM AI,30,5,25,7.32%,60.00%
W4,iit roorkee agentic systems,38,19,19,5.07%,65.79%
W4,IIT Patna AI ML,112,92,20,6.58%,67.86%
W4,iit roorkee ai ds,195,171,24,4.75%,67.18%
W4,iit roorkee software engineering,18,18,0,4.39%,72.22%
W4,IIT Patna AI ML (in Telugu),188,181,7,11.13%,62.77%
W4,IIT Patna SDE with AI (in English),19,19,0,8.80%,68.42%
W4,IIT Patna AI ML (in Tamil),108,103,5,10.47%,62.96%
W4,IIM Rohtak Product Management,44,43,1,6.30%,59.09%
W4,tihan ai ml,0,0,0,0,0
W4,IIT Patna SDE with AI (in Tamil),7,7,0,7.95%,85.71%
W4,iim trichy product management,4,0,4,7.02%,75.00%
W4,IIM Sirmaur DM,1,0,1,20.00%,100.00%
W4,FinTech AI - IIM Trichy,4,0,4,5.41%,100.00%
W4,BITSoM FinTech AI,1,0,1,3.03%,100.00%
W4,BITSoM BA DM,23,20,3,9.16%,82.61%
W4,IIT Roorkee Product Management,6,1,5,4.14%,66.67%
W4,IIT Roorkee Analytics and Ai (in Tamil),247,247,0,3.80%,68.95%
W4,IIT Roorkee Analytics and Ai (in Telugu),154,154,0,3.80%,68.95%
W4,IIT Roorkee Analytics and Ai (in Hindi),59,59,0,2.30%,57.63%
